Facility_name,Person_running_it,Job_title,Phone,Url,Facility_type,Number_of_bads
Orchard Crest Retirement,Kathleen Swan,AL Director,509-928-2222,http://www.orchardcrestretirement.com,Assisted Living Facility, 130
Olympus Living of Spokane Valley,Brenda Twete,Assisted Living Manager,509-342-7269,https://olympuslivingsv.com/,Assisted Living Facility, 14
Evergreen Fountains,Prokey Arger,Executive Director/Owner,509-922-3100,http://www.evergreenfountains.com,Assisted Living Facility, 124
Colonial Court,Denise Henley,Health Services Director,509-921-5473,http://colonialcourtassistedliving.com,Assisted Living Facility, 51
Brookdale Park Place,Bethany Webb,Executive Director,509-922-7224,http://www.brookdale.com,Assisted Living Facility, 110
Willow Grove Home,Ryan Knudson,Administrator,509-467-1135,,Assisted Living Facility, 25
Touchmark On South Hill,Michaela Thompson,Executive Director,509-536-2929,http://www.touchmarkspokane.com,Assisted Living Facility, 105
Touchmark on South Hill Health & Rehab Center,Danni Orne,SNF Administrator,509-536-2929,http://www.touchmarkspokane.com,Skilled Nursing Facility, 57
The Gardens on University,Jacqueline Palozzolo,Administrator,509-924-4650,http://calderacare.com,Skilled Nursing Facility, 124
Sunshine Terrace,Ron Simpson,Administrator,509-892-4342,,Assisted Living Facility, 137
Sullivan Park Care Center,Bobbie Gunkel,Administrator,509-922-1644,http://www.prestigecare.com,Skilled Nursing Facility, 125
Spokane Health and Rehabilitation Center,Lisa Parker,Administrator,509-326-8282,,Skilled Nursing Facility, 125
South Hill Village EARC,Paula Robertson,Executive Director,509-443-8500,http://www.pegasusseniorliving.com,Assisted Living Facility, 40
South Hill Village,Paula Robertson,Executive Director,509-443-8500,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 170
Sapphire at Moran Vista,April Oviatt,Executive Director,509-443-1944,http://www.moranvistaseniorliving.com,Assisted Living Facility, 101
Royal Park Health and Rehabilitation,Rita Newman,Executive Director,509-489-2273,http://www.royalparkhealthandrehab.com,Skilled Nursing Facility, 164
Royal Park Retirement Center,Amy Stafford,Executive Director,509-483-7136,http://www.royalparkretirement.com,Assisted Living Facility, 95
Rose Pointe Assisted Living,Trudie Chamberlain,Executive Director,509-926-6483,,Assisted Living Facility, 110
Riverview Terrace,,,509-483-6483,http://www.riverviewretirement.org,Assisted Living Facility, 110
Riverview Retirement Community (Memory Care),Tara Samuel,Administrator - Memory Care Manager,509-482-9586,,Assisted Living Facility, 40
Regency at Northpointe,Jesse Shelton,Administrator,509-465-8800,http://www.regencynorthpointe.com,Skilled Nursing Facility, 120
North Point Village,Chelsea Searle,Assistant Executive Director,509-465-8440,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 126
North Central Care and Rehabilitation,Dell Workman,Administrator,509-328-6030,http://northcentralcarecenterinc.com,Skilled Nursing Facility, 99
Magnolia Care Enhanced Living,Rhonda Bowens,Executive Director,509-482-6290,,Assisted Living Facility, 53
Grande Manor Care,Israel Rodriguez,Administrator,509-747-7233,,Assisted Living Facility, 12
Franklin Hills Health & Rehab Center,Mark Scroggin,Administrator,509-489-3323,http://calderacare.com,Skilled Nursing Facility, 100
Fairwinds Spokane,Jamie Bravato,Executive Director,509-468-1000,http://www.leisurecare.com,Assisted Living Facility, 90
Ciel Senior Living of Spokane,Taylor Adams,Executive Director,509-904-1245,,Assisted Living Facility, 60
Cherrywood Place Retirement,Alejandra Perdomo-Tapia,Executive Director,509-484-3553,,Assisted Living Facility, 52
Brookdale Nine Mile,,,509-323-1400,http://www.brookdale.com,Assisted Living Facility, 60
Avamere at South Hill,Tina Sykes,Executive Director,509-443-0401,http://www.brookdale.com,Assisted Living Facility, 95
Avalon Care Center at Northpointe,Tom De Oro,Administrator,509-468-7000,http://www.avalonhci.com,Skilled Nursing Facility, 119
Aspen Quality Care,Erica Anchondo,Executive Director/DNS,509-464-9486,http://www.aspenqualitycare.com,Assisted Living Facility, 21
Alderwood Manor,Ken Alexander,Administrator,509-535-2071,http://www.lcca.com,Skilled Nursing Facility, 85
Snohomish Health and Rehabilitation of Cascadia,Rob Jewett,Administrator,360-568-3161,http://www.cascadiahc.com,Skilled Nursing Facility, 91
The Ridge,,,360-697-4488,http://www.encoreridge.com,Assisted Living Facility, 54
Northwoods Lodge,Adam Filbey,Executive Director,360-698-3930,http://www.encorecommunities.com,Skilled Nursing Facility, 57
Fieldstone on Clear Creek,Stephanie Perry,Executive Director,360-979-2256,,Assisted Living Facility, 169
Fieldstone of Silverdale Memory Care,,,360-340-9371,,Assisted Living Facility, 58
Courtyard at Crista Shores,Russ  Reuther,Community Manager,360-698-0900,http://www.cristashores.com,Assisted Living Facility, 60
Clearbrook Inn Living Center,Megan Nichols,Executive Director,360-692-1228,http://www.encorecommunities.com,Assisted Living Facility, 53
Laurel Cove Community,,,206-364-9336,http://www.laurelcovecommunity.com,Assisted Living Facility, 98
Courtyard at Cristwood,Nancy Mitchell,Executive Director,206-546-7575,http://www.cristaseniors.org,Assisted Living Facility, 90
Avamere Rehabilitation of Shoreline,Scott Carlston,Administrator,206-363-5856,https://avamereshoreline.com/,Skilled Nursing Facility, 115
Aegis of Shoreline,John Gonzales,General Manager,206-279-3448,http://www.aegisliving.com,Assisted Living Facility, 130
Aegis at Callahan House,Al Otieno,General Manager,206-417-9747,http://www.aegisliving.com,Assisted Living Facility, 59
Shelton Health and Rehabilitation Center,Coleen Dixon,Administrator,360-427-2575,,Skilled Nursing Facility, 76
Maple Glen Assisted Living Community,Monica Decicio,Administrator/Resident Services Director,360-427-0300,,Assisted Living Facility, 73
Fir Lane Health & Rehab Center,Donna Robinson,Administrator,360-426-1651,http://calderacare.com,Skilled Nursing Facility, 135
Alpine Way Retirement Apartments,Trudy Hunter,Executive Director,360-426-2600,http://www.cascadeliving.com,Assisted Living Facility, 103
Trustwell Living at Sinclair Place,Sabra Stafford,Resident Care Coordinator,360-681-3385,https://www.trustwellliving.com/senior-living/wa/sequim/sinclair-place/,Assisted Living Facility, 68
Sherwood Assisted Living,Andrea Magill,Administrator/DNS,360-683-3348,http://www.SherwoodAssistedLiving.com,Assisted Living Facility, 107
Sequim Health and Rehabilitation Center,James Aldred,Administrator,360-582-2400,http://www.calderacare.com,Skilled Nursing Facility, 100
Dungeness Courte Alzheimer’s Community,Linda Potter,Executive Director,360-582-9309,http://www.dungenesscourte.com,Assisted Living Facility, 40
Discovery Memory Care,Julia Turner,Executive Director,360-912-8399,http://www.discoverymc.com,Assisted Living Facility, 58
Avamere Olympic Rehabilitation of Sequim,Duane Smith,Administrator,360-582-3900,http://www.avamere.com,Skilled Nursing Facility, 90
Riverview Manor,Robert Kaercher,Administrator,509-697-3333,http://www.riverviewmanorselah.com,Assisted Living Facility, 60
Life Care Center of Skagit Valley,Heather Savela,Administrator,360-856-6867,http://www.lcca.com,Skilled Nursing Facility, 150
Country Meadow Village,Sandra Jensen,Administrator,360-856-0404,http://www.villageconcepts.com,Assisted Living Facility, 50
Washington Center for Comprehensive Rehab,Yasser Alsallom,Regional Administrator,206-725-2800,http://www.wacenter.org,Skilled Nursing Facility, 165
Birchview Memory Care Community,Shannon Padilla,Executive Director,360-856-1911,http://www.birchviewmc.com,Assisted Living Facility, 61
Village Green Senior Living West Seattle,Eva Thomas,Executive Director,206-937-6122,http://www.daystarseattle.com,Assisted Living Facility, 60
University House at Wallingford,Leta Medina,Interim Executive Director,206-545-8400,http://www.eraliving.com,Assisted Living Facility, 25
"Truewood by Merrill, First Hill",Craig Gill,General Manager,206-317-4955,http://www.merrillgardens.com,Assisted Living Facility, 75
Transitional Care of Seattle,Viktoria Odenthal,Administrator,206-712-6500,,Skilled Nursing Facility, 165
The Lakeshore,Chris Frere,Executive Director,206-772-1200,http://www.eraliving.com,Assisted Living Facility, 50
The Hearthstone (SNF),Rosie Velasco,Administrator/CHO,206-525-9666,http://www.hearthstone.org,Skilled Nursing Facility, 40
The Hearthstone (ALF),Rosie Velasco,Executive Director/CHO,206-525-9666,http://www.hearthstone.org,Assisted Living Facility, 62
Shoreline Health & Rehabilitation Center,Clayton South,Administrator,206-418-2900,http://www.shorelinehrc.com,Skilled Nursing Facility, 114
Seattle Medical Post Acute Care,Alanna Murdie,Executive Director,206-324-8200,http://www.seattlemedicalpostacute.com,Skilled Nursing Facility, 103
Saint Anne Nursing & Rehab Center,Dennis Megaard,Administrator,206-363-7733,http://www.saintannenursing.com,Skilled Nursing Facility, 47
Richmond Beach Rehab,Dianne Mangio,Administrator,206-546-2666,http://www.avamere.com,Skilled Nursing Facility, 131
Queen Anne Manor,Nestor Mendez,Executive Director,206-282-5001,http://www.seniorservicesofamerica.com,Assisted Living Facility, 103
Queen Anne Healthcare – Avamere,Kensie Tyler,AIT,206-284-7012,http://www.avamere.com,Skilled Nursing Facility, 120
Parkshore (ALF),Ashlee Gray,Administrator/General Counsel,206-329-0770,http://www.parkshore.org,Assisted Living Facility, 36
Northgate Plaza,Michelle Worcester,Executive Director,206-707-8517,http://www.mbkseniorliving.com,Assisted Living Facility, 80
Nikkei Manor,Teri McLaughlin,"Executive Director, Health Services Manager",206-759-7195,https://keironw.org/,Assisted Living Facility, 56
Murano Senior Living,Eric Piekarz,Executive Director,206-202-4620,https://www.merrillgardens.com/,Assisted Living Facility, 117
Merrill Gardens at the University,Michael Schaedig,General Manager,206-926-9738,http://www.merrillgardens.com,Assisted Living Facility, 45
Merrill Gardens at Ballard,Lisa Palm,Executive Director,206-965-9370,http://www.merrillgardens.com,Assisted Living Facility, 50
Mary Schwartz Summit,Matthew Powondra,Administrator,206-652-4444,http://www.klinegalland.org,Assisted Living Facility, 60
Kline Galland Home,Stephanie King,Assistant Administrator,206-725-8800,http://www.klinegalland.org,Skilled Nursing Facility, 205
Keystone,Deborah Parks,Administrator,206-461-6990,,Assisted Living Facility, 64
Ida Culver House Broadview,Kim Mulvaney,Executive Director,206-361-1989,http://www.eraliving.com,Assisted Living Facility, 120
Ida Culver House – Ravenna,Sarah Gerhard,Executive Director,206-523-7315,http://www.eraliving.com,Assisted Living Facility, 30
Greenlake Emerald City,Kimberly McLeod,Executive Director/DNS,208-783-5595,,Assisted Living Facility, 119
Florence of Seattle at Arbor Heights,Laurie Yamashita,,206-714-3324,,Assisted Living Facility, 12
Florence of Seattle,Laurie Yamashita,Administrator,206-767-3137,http://www.florenceofseattle.com,Assisted Living Facility, 20
Empress Senior Living at Laurelhurst,Josh  Blake,Administrator,206-219-0142,http://www.elegance-living.com,Assisted Living Facility, 73
Cogir of Queen Anne,Kelly Hammond,Executive Director,206-284-0055,http://www.cogir.com,Assisted Living Facility, 100
Cogir of Northgate Memory Care,Brandon Dalke,Executive Director,206-440-1700,http://www.cogirseniorliving.com,Assisted Living Facility, 49
Brookdale West Seattle,Kelly Holm,Executive Director,206-932-5480,http://www.brookdale.com,Assisted Living Facility, 60
Brookdale at Admiral Heights,Olivia Wallen,Executive Director,206-938-3964,http://www.brookdale.com,Assisted Living Facility, 55
Ballard Care and Rehabilitation Center,,,206-782-0100,http://www.genesishcc.com,Skilled Nursing Facility, 142
Avamere Rehabilitation of Park West,Amanda Moss,Administrator,206-937-9750,https://avamereparkwest.com/,Skilled Nursing Facility, 137
Bailey-Boushay House,Robert Hays,Executive Director,206-322-5300,http://www.virginiamason.org/bailey-boushay,Skilled Nursing Facility, 35
Aljoya Thornton Place,Danielle Parkins,Executive Director,206-306-7920,http://www.eraliving.com,Assisted Living Facility, 32
Aegis of Queen Anne on Galer,Wendy Floyd,General Manager,206-285-1106,http://www.aegisliving.com,Assisted Living Facility, 68
Aegis of Queen Anne at Rodger’s Park,Kaylan Moore,Senior General Manager,206-387-4134,http://www.aegisliving.com,Assisted Living Facility, 150
Aegis of Madison,Jonathan Carow,General Manager,206-325-1600,http://www.aegisliving.com,Assisted Living Facility, 125
Aegis Living West Seattle,Kent Chappelle,General Manager,206-487-5289,http://www.aegisliving.com,Assisted Living Facility, 100
Aegis Living Lake Union,David Gustafson,General Manager,206-816-3333,http://www.aegisliving.com,Assisted Living Facility, 100
Aegis Living Greenwood,Bill Phelps,General Manager,206-436-3444,http://www.aegisliving.com,Assisted Living Facility, 126
Aegis Living at Ravenna,Paul Shepodd,General Manager,206-701-5677,http://www.aegisliving.com,Assisted Living Facility, 104
Family to Family Senior Care,Manuela Paul,Administrator,425-644-7321,,Assisted Living Facility, 15
"Ridgefield Living Center, Inc.",Leslie Swindell,Executive Director,360-887-5066,,Assisted Living Facility, 38
Community Pride Ritzville,Isaac Sadera,Administrator,509-659-4717,,Assisted Living Facility, 21
Richland Rehabilitation Center,Hollie Kaiser,Administrator,509-946-8095,http://www.prestigecare.com,Skilled Nursing Facility, 71
Prestige Assisted Living at Richland,Hollie Kaiser,Administrator,509-946-8095,http://www.prestigecare.com,Assisted Living Facility, 26
Guardian Angel Homes Richland,Karisa Strankman,Administrator,509-943-2100,http://www.gahangel.com,Assisted Living Facility, 96
Life Care Center of Richland,Melinda Garcia,Administrator,509-943-1117,http://www.lcca.com,Skilled Nursing Facility, 104
Brookdale Torbett,,,509-943-5353,http://www.brookdale.com,Assisted Living Facility, 48
Brookdale Richland,Katherine  Haynes,Executive Director,509-946-4600,http://www.brookdale.com,Assisted Living Facility, 159
Bonaventure of the Tri-Cities,Ruth Wright,Executive Director,509-542-0905,http://www.bonaventuresenior.com,Assisted Living Facility, 123
Brookdale Meadow Springs,Bo Phillipy,Executive Director,509-627-3032,http://www.brookdale.com,Assisted Living Facility, 108
